DO ID	DO term	OMIM ID	DO Exact Synonym
"DOID:5200"	"urinary tract obstruction"		Obstructive Uropathy, urinary obstruction
"DOID:365"	"bladder disease"		Urinary Bladder Disease
"DOID:9590"	"lower urinary tract calculus"		
"DOID:732"	"urethral disease"		urethra disease
"DOID:1375"	"neonatal urinary tract infectious disease"		urinary tract infection of newborn
"DOID:1394"	"urinary schistosomiasis"		Schistosoma Hematobium Infection, Schistosoma haematobium (& vesical schistosomiasis), Schistosoma hematobium infectious disease, Schistosomiasis due to schistosoma haematobium, Schistosomiasis of bladder, Vesical schistosomiasis, bladder Schistosomiasis, cystitis with bilharziasis (disorder)
"DOID:1412"	"bacteriuria"		
"DOID:1426"	"ureteral disease"		
"DOID:1439"	"pyuria"		Pus cells in urine
"DOID:26"	"pancreas disease"		
"DOID:0050877"	"pancreatic agenesis"	260370	partial pancreatic agenesis
"DOID:10610"	"pancreatic steatorrhea"		pancreatic steatorrhea (disorder), pancreatic steatorrhea [dup] (disorder), pancreatic steatorrhoea
"DOID:12388"	"neurohypophyseal diabetes insipidus"	125700, 304900	Pituitary diabetes insipidus, Vasopressin deficiency, central diabetes insipidus, vasopressin defective diabetes insipidus
"DOID:13313"	"pancreatic mucinous ductal ectasia"		
"DOID:13316"	"exocrine pancreatic insufficiency"		Exocrine pancreatic insufficiency (disorder)
"DOID:1428"	"endocrine pancreas disease"		
"DOID:4989"	"pancreatitis"		
"DOID:9553"	"adrenal gland disease"		
"DOID:11201"	"parathyroid gland disease"		disease of parathyroid glands
"DOID:2277"	"gonadal disease"		
"DOID:50"	"thyroid gland disease"		
"DOID:53"	"pituitary gland disease"		pituitary disease
"DOID:0050185"	"erythema multiforme"		
"DOID:0050426"	"Stevens-Johnson syndrome"		
"DOID:0050429"	"Hailey-Hailey disease"	169600	BENIGN CHRONIC PEMPHIGUS, Pemphigus, Benign Familial
"DOID:0050448"	"hereditary mucosal leukokeratosis"	193900, 615785	white sponge nevus of Cannon, white sponge nevus
"DOID:0050467"	"erythrokeratodermia variabilis"	133200	Erythrokeratodermia Figurata Variabilis, Greither Disease
"DOID:0050486"	"exanthem"		Rash, exanthema
"DOID:0060283"	"peeling skin syndrome"	270300, 613088	
"DOID:0060472"	"Kindler syndrome"	173650	hereditary acrokeratotic poikiloderma of Kindler-Weary, poikiloderma of Kindler
"DOID:0060551"	"poikiloderma with neutropenia"	604173	
"DOID:10123"	"pigmentation disease"		
"DOID:13081"	"hemangioma of subcutaneous tissue"		Angioma of the Subcutaneous tissue, Subcutaneous haemangioma, Subcutaneous hemangioma (disorder), hemangioma of subcutaneous tissue (disorder)
"DOID:13402"	"skin sarcoidosis"		Cutaneous Sarcoidosis, Cutaneous sarcoid, Cutaneous sarcoidosis (disorder)
"DOID:13523"	"loiasis"		
"DOID:1383"	"sweat gland disease"		
"DOID:1526"	"panniculitis"		
"DOID:1555"	"urticaria"		
"DOID:1558"	"angioedema"		Angioneurotic oedema, Quincke's edema, angioneurotic edema, giant urticaria
"DOID:161"	"keratosis"		
"DOID:2053"	"reactive cutaneous fibrous lesion"		
"DOID:2723"	"dermatitis"		eczema, skin inflammation
"DOID:2729"	"dyskeratosis congenita"	127550, 224230, 305000, 613987, 613988, 613989, 613990, 615190	
"DOID:2731"	"vesiculobullous skin disease"		
"DOID:2732"	"Rothmund-Thomson syndrome"	268400	Congenital poikiloderma, RTS, Rothmund-Thomson syndrome (disorder)
"DOID:2733"	"skin atrophy"		Atrophoderma (disorder), Atrophoderma, Atrophy - skin, atrophic condition of skin (disorder)
"DOID:3134"	"facial dermatosis"		
"DOID:3136"	"scalp dermatosis"		Dermatosis of scalp (disorder)
"DOID:3137"	"multiple symmetrical lipomatosis"		Multiple symmetrical lipomatosis (disorder)
"DOID:3140"	"scleredema adultorum"		Buschke's scleredema
"DOID:3142"	"leg dermatosis"		
"DOID:3144"	"cutis laxa"	123700, 219100, 219150, 219200, 612940, 613177, 614434, 614437, 614438	Cutis laxa (disorder), Cutis laxa, loose skin
"DOID:3153"	"lipomatosis"		Lipomatosis (disorder), Lipomatosis (morphologic abnormality)
"DOID:3156"	"incontinentia pigmenti achromians"		Bloch-Siemans syndrome, Hypomelanosis of Ito [Ambiguous], Hypomelanosis of Ito, Incontinentia pigmenti achromians syndrome (disorder), Incontinentia pigmenti syndrome (disorder) [Ambiguous], Ito's nevus, nevus of Ito (disorder)
"DOID:3158"	"hand dermatosis"		
"DOID:3486"	"necrobiosis lipoidica"		Necrobiosis lipoidica (disorder), Necrobiosis lipoidica
"DOID:3488"	"cellulitis"		
"DOID:4603"	"epidermolytic hyperkeratosis"	113800	Bullous ichthyosiform erythroderma (disorder), Epidermolytic palmoplantar hyperkeratosis, bullous congenital ichthyosiform erythroderma
"DOID:4702"	"mongolian spot"		Integument anomalies: [ichthyosis congenita] or [Darier's] or [keratosis follicularis] or [Meige's] or [Milroy's] or [Mongolian spots] or [pseudoxanthoma elasticum] or [congenital NOS], Mongolian Macula, Mongolian spot (disorder)
"DOID:6687"	"Achenbach syndrome"		Paroxysmal hematoma of the finger (disorder)
"DOID:7365"	"Kimura disease"		Kimura's disease (disorder), Kimura's disease
"DOID:811"	"lipodystrophy"		
"DOID:8549"	"chronic ulcer of skin"		Callous ulcer (morphologic abnormality), Indolent ulcer (morphologic abnormality)
"DOID:8574"	"lichen disease"		
"DOID:8881"	"rosacea"		Acne rosacea (disorder), Acne roscea, Acne, erythematosa, Rosacea (disorder), Rosacea NOS (disorder)
"DOID:8893"	"psoriasis"	177900, 601454, 602723, 603935, 604316, 605364, 605606, 607857, 610707, 612410, 612599, 612950, 614070	
"DOID:9097"	"erythematosquamous dermatosis"		Erythematosquamous Dermatosis, Erythematosquamous dermatosis (disorder), Erythematosquamous dermatosis NOS (disorder), Other erythematosquamous dermatosis
"DOID:9098"	"sebaceous gland disease"		
"DOID:9540"	"vascular skin disease"		
"DOID:47"	"prostate disease"		
"DOID:11132"	"prostatic hypertrophy"		
"DOID:14654"	"prostatitis"		
"DOID:2301"	"atrophy of prostate"		
"DOID:12336"	"male infertility"		
"DOID:9365"	"vesiculitis"		Seminal vesiculitis
"DOID:10835"	"chylocele of tunica vaginalis"		
"DOID:11997"	"spermatocele"		
"DOID:12332"	"hematocele of tunica vaginalis testis"		Hematocele, male hematocele
"DOID:12333"	"male genital organ stricture"		Stricture of male genital organs
"DOID:12335"	"male genital organ vascular disease"		vascular disorder of male genital organs
"DOID:1529"	"penile disease"		
"DOID:2519"	"testicular disease"		disorder of testis, testis disorder
"DOID:5576"	"inhibited male orgasm"		male Orgasmic disorder
"DOID:9402"	"epididymitis"		
"DOID:9912"	"hydrocele"		
"DOID:1459"	"hypothyroidism"		Thyroid deficiency, Thyroid insufficiency
"DOID:12176"	"goiter"		goitre
"DOID:7998"	"hyperthyroidism"	603373, 609152	overactive thyroid
"DOID:12424"	"thyrocalcitonin secretion disease"		disorder of thyrocalcitonin secretion (disorder), disorder of thyrocalcitonin secretion
"DOID:12837"	"thyroid crisis"		Thyroid crisis, Thyrotoxic crisis (disorder)
"DOID:2855"	"hyperthyroxinemia"		
"DOID:2856"	"euthyroid sick syndrome"		Euthyroid sick syndrome, Sick-euthyroid syndrome (disorder)
"DOID:7166"	"thyroiditis"		
"DOID:7997"	"thyrotoxicosis"	275000	
"DOID:8433"	"thyroid malformation"		
"DOID:9406"	"hypopituitarism"	221750, 262600, 262700, 613038, 613986	Pituitary insufficiency, pituitary hormone deficiency
"DOID:3646"	"necrosis of pituitary"		Pituitary necrosis, necrosis of pituitary (disorder)
"DOID:2444"	"hyperpituitarism"		
"DOID:3401"	"inappropriate ADH syndrome"		syndrome of Inappropriate Antidiuretic Hormone Secretion, syndrome of inappropriate secretion of ADH, syndrome of inappropriate secretion of antidiuretic hormone, syndrome of inappropriate vasopressin secretion (disorder)
"DOID:3642"	"empty sella syndrome"		Empty sella syndrome (disorder), Empty sella syndrome
"DOID:7378"	"pituitary hypoplasia"		
"DOID:57"	"aortic valve insufficiency"		Rheumatic aortic insufficiency, Rheumatic aortic regurgitation, Rheumatic aortic valve regurgitation, aortic incompetence, aortic insufficiency, aortic regurgitation, rheumatic aortic valve insufficiency
"DOID:62"	"aortic valve disease"		
"DOID:61"	"mitral valve disease"		Mitral RH valve dis., Rheumatic disease of mitral valve (disorder), Rheumatic mitral insufficiency, Rheumatic mitral valve changes, Rheumatic mitral valve regurgitation, chronic rheumatic mitral valve (disorder), disease of mitral valve, rheumatic disease of mitral valve, rheumatic mitral valve incompetence
"DOID:4079"	"heart valve disease"		Valvular heart disease (disorder)
"DOID:11502"	"mitral valve insufficiency"		Congenital insufficiency of mitral valve (disorder), Mitral valve incompetence, congenital mitral insufficiency, congenital mitral regurgitation, mitral regurgitation
"DOID:1754"	"mitral valve stenosis"		Mitral stenosis
"DOID:988"	"mitral valve prolapse"	157700, 607829, 610840	Barlow's syndrome, floppy mitral valve
"DOID:1712"	"aortic valve stenosis"	109730, 614823	AS, Aortic stenosis, Congenital aortic valve stenosis, Rheumatic aortic stenosis, rheumatic aortic valve stenosis
"DOID:5232"	"aortic valve prolapse"		
"DOID:0050645"	"arterial tortuosity syndrome"	208050	
"DOID:0050698"	"funisitis"		
"DOID:0080001"	"bone disease"		
"DOID:11329"	"ainhum"	103400	Ainhum (disorder), Dactylolysis spontanea
"DOID:13374"	"fibrodysplasia ossificans progressiva"	135100	Stone Man Syndrome, myositis ossificans progressiva, progressive myositis ossificans, progressive ossifying myositis
"DOID:14188"	"frozen shoulder"		Adhesive capsulitis of shoulder, adhesions-capsulitis,shoulder
"DOID:14223"	"ochronosis"		Ochronosis (disorder)
"DOID:1586"	"rheumatic fever"		ACUTE RHEUMATIC FEVER, RhF - Rheumatic fever
"DOID:1678"	"chronic interstitial cystitis"		
"DOID:204"	"enthesopathy"		
"DOID:2703"	"synovitis"		
"DOID:3141"	"mucinoses"		
"DOID:5587"	"Volkmann contracture"		Volkmann's ischemic contracture
"DOID:819"	"mediastinitis"		Mediastinitis (disorder)
"DOID:854"	"collagen disease"		collagen disorder
"DOID:8936"	"plantar fascial fibromatosis"		Dupuytren's contracture of foot (disorder), Ledderhose's disease, Plantar fascial fibromatosis (disorder)
"DOID:9074"	"systemic lupus erythematosus"	152700, 300809, 601744, 605218, 605480, 608437, 609903, 609939, 610065, 610066, 610927, 612251, 612253, 612254, 612378, 613145, 614420	Lupus Erythematosus, systemic, SLE - Lupus Erythematosus, systemic, disseminated lupus erythematosus
"DOID:9598"	"fasciitis"		
"DOID:9857"	"interstitial keratitis"		
"DOID:9957"	"periostitis"		
"DOID:66"	"muscle tissue disease"		
"DOID:0050646"	"distal arthrogryposis"	108120, 108145, 108200, 114300, 121050, 121070, 158300, 178110, 187370, 193700, 601680, 609128, 614335, 615065	Arthrogryposis Multiplex Congenita, Freeman-Sheldon syndrome variant, Freeman-Sheldon syndrome, Sheldon-Hall syndrome
"DOID:0060255"	"rippling muscle disease"	600332, 606072	
"DOID:2106"	"myotonia congenita"	160800, 255700	Congenital myotonia, autosomal dominant form (disorder), Thomsen disease, Thomsen's disease
"DOID:74"	"hematopoietic system disease"		Blood disease, Blood dyscrasia NOS, DISEASE OF THE BLOOD AND BLOOD-FORMING ORGANS, Hematological disease, blood disorder, disease of hematopoietic system
"DOID:2355"	"anemia"		anaemia
"DOID:620"	"blood protein disease"		blood protein disorder
"DOID:1247"	"blood coagulation disease"		postpartum coagulation defect with delivery, postpartum coagulation defect
"DOID:2373"	"hereditary elliptocytosis"	130600, 611804	Congenital elliptocytosis, ovalocytosis
"DOID:4176"	"blood group incompatibility"		
"DOID:4961"	"bone marrow disease"		bone marrow disorder
"DOID:9500"	"leukocyte disease"		
"DOID:75"	"lymphatic system disease"		Adenopathy, Lymphangiopathy, NOS, Lymphatic disease, Lymphatic disorder, disease of lympoid system, disorder of lymph node and lymphatics (disorder), disorder of lymphatic system, disorder of lymphoid system, lymphatic disorder, lympoid system disease
"DOID:0050120"	"hemophagocytic lymphohistiocytosis"	267700, 603552, 603553, 608898, 613101	HPS, Hemophagocytic syndrome, haemophagocytic syndrome
"DOID:0060366"	"Hennekam syndrome"	235510, 616006	Hennekam lymphangiectasia-lymphedema syndrome, lymphedem-lymphangiectasia-intellectual disability syndrome
"DOID:2529"	"splenic disease"		Dyssplenism, Spleen disease
"DOID:3405"	"histiocytosis"		Hand Schuller Christian disease, chronic Histiocytosis X
"DOID:4347"	"lymphocele"		Lymph cyst (disorder), Lymphocele (disorder), Lymphocyst (morphologic abnormality)
"DOID:4977"	"lymphedema"		Lymphatic edema (morphologic abnormality), Lymphoedema NOS
"DOID:533"	"thymus gland disease"		disease of thymus gland
"DOID:9317"	"lymphangitis"		Lymphangitis (disorder), Lymphangitis NOS
"DOID:9942"	"lymph node disease"		
"DOID:76"	"stomach disease"		Gastropathy (disorder), stomach disorder
"DOID:1159"	"functional gastric disease"		
"DOID:12070"	"Dieulafoy lesion"		Dieulafoy lesion (hemorrhagic) of intestine, dieulafoy lesion (hemorrhagic) of stomach and duodenum
"DOID:12072"	"pylorospasm"		Pylorospasm (disorder)
"DOID:12234"	"cascade stomach"		Cascade stomach (disorder), Hourglass stricture or stenosis of stomach
"DOID:12642"	"hiatus hernia"	142400	Diaphragmatic - hiatus -hernia, Hiatal hernia (disorder), Hiatus hernia, hiatal hernia
"DOID:3122"	"gastric outlet obstruction"		gastric outflow obstruction
"DOID:3229"	"gastric dilatation"		stomach dilatation
"DOID:4029"	"gastritis"		Erosive Gastritis, Erosive gastropathy (disorder), GASTRITIS HEMORRHAGIC, Gastritis (disorder), Gastritis [Ambiguous], Gastritis unspecified (disorder), Hemorrhagic Gastritis, Idiopathic erosive\/hemorrhagic gastritis (disorder), acute Gastritis, acute gastric mucosal erosion (disorder), acute gastritis with hemorrhage, acute gastritis without mention of hemorrhage, acute gastritis, with hemorrhage, acute gastritis, without mention of hemorrhage, acute haemorrhagic gastritis, chronic Gastritis, chronic gastritis (disorder), chronic gastritis NOS (disorder), chronic gastritis
"DOID:4071"	"duodenogastric reflux"		Duodenogastric reflux (finding)
"DOID:4370"	"stomach diverticulosis"		
"DOID:6225"	"Cronkhite-Canada syndrome"		gastric Cronkhite Canada polyposis
"DOID:13250"	"diarrhea"		
"DOID:5295"	"intestinal disease"		
"DOID:0060262"	"gallbladder disease"	609918, 609919, 611465	
"DOID:2326"	"gastroenteritis"		cholera morbus, infectious colitis, enteritis and gastroenteritis
"DOID:3118"	"hepatobiliary disease"		liver and biliary tract disease
"DOID:403"	"mouth disease"		
"DOID:6050"	"esophageal disease"		esophageal Ulcer
"DOID:750"	"peptic ulcer disease"		acute peptic ulcer with hemorrhage and perforation, acute peptic ulcer with hemorrhage, acute peptic ulcer without hemorrhage AND without perforation (disorder), acute peptic ulcer without hemorrhage and without perforation
"DOID:8283"	"peritonitis"		Retractile mesenteritis (disorder), Retractile mesenteritis, acute generalized peritonitis (disorder), acute generalized peritonitis, primary bacterial peritonitis (disorder), sclerosing mesenteritis
"DOID:8534"	"gastroesophageal reflux disease"	109350	Acid reflux, GERD - Gastro-esophageal reflux disease, GERD, Gastresophageal reflux, Gastro-esophageal reflux, Gastroesophageal reflux disease, Gastroesophageal reflux
"DOID:8677"	"perinatal necrotizing enterocolitis"		ENTEROCOLITIS NECROTIZING, Necrotizing enterocolitis in fetus OR newborn (disorder), Perinatal necrotising enterocolitis, Perinatal necrotizing enterocolitis (disorder), Pseudomembranous enterocolitis in newborn, necrotizing enterocolitis
"DOID:82"	"myotonic cataract"		
"DOID:83"	"cataract"	115650, 115660, 115665, 115700, 115800, 115900, 116100, 116200, 116300, 116400, 116700, 116800, 212500, 302200, 600881, 601202, 601371, 601547, 601885, 604219, 604307, 605728, 605749, 607304, 609026, 609376, 609741, 610019, 610202, 610425, 611391, 611544, 611597, 612968, 613887, 614422, 614691, 615188, 615274, 615277, 616279, 616509	
"DOID:110"	"lens disease"		
"DOID:0050537"	"posterior polar cataract"	116600, 605387, 610623, 613763	CATARACT, POSTERIOR POLAR
"DOID:13328"	"diabetic cataract"		Cataract - diabetic
"DOID:13822"	"tetanic cataract"		Hypocalcaemic cataract
"DOID:9669"	"senile cataract"		
"DOID:84"	"osteochondritis dissecans"	165800	OCD
"DOID:0080008"	"ischemic bone disease"		
"DOID:90"	"degenerative disc disease"		cervical disc degenerative disease, intervertebral disc degeneration, lumbar disc degeneration, vertebral disc disease
"DOID:0080007"	"bone deterioration disease"		
"DOID:92"	"speech disorder"		
"DOID:2033"	"communication disorder"		
"DOID:4186"	"articulation disorder"		Articulation impairment, Phonological disorder
"DOID:4188"	"echolalia"		
"DOID:4189"	"mutism"		
"DOID:93"	"language disorder"		
"DOID:0060046"	"aphasia"		
"DOID:0060244"	"specific language impairment"	606711, 606712, 607134, 612514, 615432	
"DOID:11385"	"expressive language disorder"		Developmental expressive language disorder
"DOID:96"	"staphyloenterotoxemia"		Staphylococcal food poisoning, Staphylococcal toxaemia due to food, staphyloenterotoxicosis
"DOID:0050338"	"primary bacterial infectious disease"		
"DOID:100"	"intestinal infectious disease"		bacterial enteritis
"DOID:12384"	"dysentery"		Infectious diarrhea
"DOID:104"	"bacterial infectious disease"		
"DOID:0050339"	"commensal bacterial infectious disease"		
"DOID:0050340"	"opportunistic bacterial infectious disease"		
"DOID:106"	"pleural tuberculosis"		Pearly disease (disorder), Tuberculosis of Pleura, Tuberculosis of pleura (disorder) [Ambiguous], Tuberculosis of pleura (disorder), Tuberculosis of pleura, Tuberculous pleurisy NOS (disorder), Tuberculous pleurisy, Tuberculous pleurisy, unspecified examination, Tuberculous pleuritis (disorder), tuberculous pleurisy in primary progressive tuberculosis
"DOID:0050598"	"extrapulmonary tuberculosis"		
"DOID:5614"	"eye disease"		
"DOID:11364"	"lens subluxation"		Lens subluxation, Subluxation of lens
"DOID:11367"	"congenital aphakia"	610256	APHAKIA, CONGENITAL PRIMARY, Congenital absence of lens
"DOID:112"	"esophageal varix"		Bleeding esophageal varices (disorder), Bleeding esophageal varices, Bleeding oesophageal varices, esophageal varices in disease classified elsewhere, with bleeding, esophageal varices with bleeding in disease EC (disorder), esophageal varices with bleeding, esophageal varices without bleeding (disorder), esophageal varices without bleeding, esophageal varices without mention of bleeding, esophageal varices
"DOID:866"	"vein disease"		
"DOID:114"	"heart disease"		
"DOID:10273"	"heart conduction disease"		heart rhythm disease
"DOID:0050825"	"endocardium disease"		
"DOID:11516"	"hypertensive heart disease"		
"DOID:1682"	"congenital heart disease"		Congenital Heart Defects, Congenital anomaly of heart, Heart Malformation, congenital heart defect, heart defect
"DOID:6000"	"congestive heart failure"		CHF, Cardiac Failure Congestive, Congestive heart disease, Weak heart
"DOID:9768"	"heart aneurysm"		cardiac aneurysm
"DOID:115"	"cardiac tamponade"		Rose's tamponade, pericardial tamponade
"DOID:118"	"pericardial effusion"		
"DOID:116"	"pericardium cancer"		Pericardial tumor, malignant neoplasm of pericardium, malignant tumor of Pericardium
"DOID:117"	"heart cancer"		Cardiac tumor, Tumour of heart, malignant Cardiac tumor, malignant neoplasm of heart
"DOID:4699"	"epicardium cancer"		Epicardial tumor, malignant Epicardial tumor, malignant neoplasm of epicardium
"DOID:6201"	"pericardial mesothelioma"		malignant Pericardial Mesothelioma, malignant mesothelioma of pericardium
"DOID:176"	"cardiovascular cancer"		Cardiovascular tumors, cardiovascular neoplasm
"DOID:14535"	"malignant cardiac germ cell tumor"		malignant germ cell tumor of the Heart
"DOID:5262"	"heart sarcoma"		cardiac sarcoma, sarcoma of Heart
"DOID:5877"	"endocardium cancer"		malignant Endocardial tumor, malignant neoplasm of endocardium, malignant tumor of endocardium
"DOID:6547"	"heart lymphoma"		Lymphoma of Heart
"DOID:9299"	"myocardium cancer"		malignant Myocardial tumor, malignant neoplasm of myocardium, tumor of Myocardium
"DOID:0050829"	"pericardium disease"		
"DOID:11482"	"hemopericardium"		Haemopericardium
"DOID:119"	"vaginal cancer"		malignant neoplasm of vagina, malignant tumor of vagina (disorder), malignant vaginal tumor, neoplasm of vagina (disorder), vagina neoplasm, vaginal tumor
"DOID:120"	"female reproductive organ cancer"		female reproductive cancer, malignant Gynecologic tumor, malignant neoplasm of female genital organ
"DOID:0050918"	"vaginal carcinoma"		
"DOID:134"	"vaginal glandular tumor"		
"DOID:138"	"vaginal squamous tumor"		
"DOID:1901"	"vagina sarcoma"		sarcoma of the vagina
"DOID:1910"	"vaginal yolk sac tumor"		vaginal Yolk Sac neoplasm, vaginal endodermal sinus neoplasm
"DOID:5171"	"vaginal endometrial stromal tumor"		
"DOID:193"	"reproductive organ cancer"		Reproductive tumor, malignant reproductive system neoplasm
"DOID:2394"	"ovarian cancer"	167000, 607893	malignant Ovarian tumor, malignant tumour of ovary, ovarian neoplasm, ovary neoplasm, primary ovarian cancer, tumor of the Ovary
"DOID:363"	"uterine cancer"		CA - cancer of uterus, Ca uterus NOS, Tumour of uterus, malignant neoplasm of uterus (disorder), malignant uterine tumor, neoplasm of uterus (disorder), uterine tumor, uterus neoplasm
"DOID:1245"	"vulva cancer"		Ca vulva, Vulvar tumor, malignant Vulvar tumor, malignant neoplasm of vulva unspecified (disorder), malignant neoplasm of vulva unspecified, malignant neoplasm of vulva, NOS, malignant neoplasm of vulva, unspecified, malignant tumor of vulva (disorder), neoplasm of vulva (disorder), vulval cancer, vulval neoplasm, vulvar neoplasm
"DOID:14059"	"paraurethral gland cancer"		malignant tumor of paraurethral gland (disorder), malignant tumor of the Paraurethral gland
"DOID:1964"	"fallopian tube cancer"		fallopian tube neoplasm, malignant neoplasm of uterine tube, malignant tumor of fallopian tube (disorder), malignant tumour of fallopian tube, neoplasm of fallopian tube (disorder), tumor of the fallopian tube, tumor, fallopian tube, malignant
"DOID:2021"	"placenta cancer"		Placental tumors, malignant Placental tumor, malignant neoplasm of placenta, neoplasm of placenta (disorder), placental cancer, primary malignant neoplasm of placenta
"DOID:3001"	"female reproductive endometrioid cancer"		endometrioid neoplasm, endometrioid tumor (morphologic abnormality)
"DOID:4362"	"cervical cancer"		cervical neoplasm, cervix cancer, cervix uteri cancer, neoplasm of uterine cervix (disorder), tumor of the Cervix Uteri, uterine cervical neoplasm
"DOID:121"	"vaginal disease"		
"DOID:2170"	"vaginitis"		
"DOID:3767"	"vaginal discharge"		
"DOID:8920"	"leukoplakia of vagina"		vaginal Leukoplakia
"DOID:125"	"vagina leiomyoma"		leiomyoma of vagina
"DOID:0060114"	"vaginal benign neoplasm"		
"DOID:127"	"leiomyoma"		leiomyomatous neoplasm (morphologic abnormality), leiomyomatous tumor
"DOID:0060084"	"cell type benign neoplasm"		
"DOID:4265"	"angiomyoma"		Angiomyoma (morphologic abnormality), vascular leiomyoma
"DOID:5123"	"mediastinum leiomyoma"		leiomyoma of mediastinum
